razon_social,propietario,nombre_planta,operador,direccion,localidad,departamento,provincia,geojson,geom
SPECIAL GAS S.A.,30615441690,"AV. ARTURO CAPDEVILA KM 12,5",SPECIAL GAS S.A.|,AV. CAPDEVILLA N/KM 12.5,EL QUEBRACHAL,CAPITAL,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-64.07843,-31.337956]}",0101000020E61000009E4143FF040550C0AA7CCF4884563FC0
SURGAS SA,30542700579,HIPOLITO IRIGOYEN 3850,SURGAS S.A.|,YRIGOYEN HIPOLITO N/KM 3850,COMODORO RIVADAVIA,ESCALANTE,CHUBUT,"{""type"":""Point"",""coordinates"":[-67.53417,-45.89139]}",0101000020E610000047205ED72FE250C0A0FD481119F246C0
SURGAS SA,30542700579,AVELLANEDA Y BAVERA,SURGAS S.A.|,AVELLANEDA Y BAVERA N/KM ,RIO GALLEGOS,GUER AIKE,SANTA CRUZ,"{""type"":""Point"",""coordinates"":[-69.23389,-51.61028]}",0101000020E61000002237C30DF84E51C092B3B0A71DCE49C0
SURGAS SA,30542700579,"RUTA NACIONAL N 11 KM 333,5",SURGAS S.A.|,RUTA NACIONAL 11 N/KM 333.5,PUERTO GRAL SAN MARTIN,SAN LORENZO,SANTA FE,"{""type"":""Point"",""coordinates"":[-60.75917,-32.70972]}",0101000020E61000005A0D897B2C614EC097A8DE1AD85A40C0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,CAMINO DE CINTURA Y BRUZZONE,TOTAL ESPECIALIDADES ARGENTINA S.A.|,CAMINO DE CINTURA Y BRUZZONE N/KM ,LUIS GUILLON,ESTEBAN ECHEVERRIA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.44976,-34.7927]}",0101000020E6100000448655BC91394DC005C58F31776541C0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,TOTAL EL QUEBRACHAL,REGIÓN GAS SA|TOTAL ESPECIALIDADES ARGENTINA S.A.|,AV. CAPDEVILLA N/KM 12.5,EL QUEBRACHAL,CAPITAL,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-64.07918,-31.33671]}",0101000020E6100000D39FFD48110550C0753C66A032563FC0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,RUTA A SAN BASILIO S/N,TOTAL ESPECIALIDADES ARGENTINA S.A.|,RUTA A SAN BASILIO  N/KM ,RIO CUARTO,RIO CUARTO,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-64.35673,-33.16859]}",0101000020E610000022E010AAD41650C061376C5B949540C0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,RUTA NACIONAL N 38 KM 430 (PARQUE INDUSTRIAL),YPF SOCIEDAD ANONIMA|YPF GAS S.A.|TOTAL ESPECIALIDADES ARGENTINA S.A.|,RUTA NACIONAL 38 N/KM 430 - PARQUE INDUSTRIAL-,LA RIOJA,CAPITAL,LA RIOJA,"{""type"":""Point"",""coordinates"":[-66.81061,-29.38779]}",0101000020E6100000E0F3C308E1B350C041B7973446633DC0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,RUTA DESTILERIA YPF 2.5,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,CIPOLLETTI ING CESAR N/KM S/N,LUJAN DE CUYO,LUJAN DE CUYO,MENDOZA,"{""type"":""Point"",""coordinates"":[-68.94147,-33.06346]}",0101000020E6100000910A630B413C51C0554D10751F8840C0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,CORDOBA 2940,TOTAL ESPECIALIDADES ARGENTINA S.A.|,CORDOBA SILVERIO N/KM 2940,SAN LORENZO,SAN LORENZO,SANTA FE,"{""type"":""Point"",""coordinates"":[-60.75643,-32.71257]}",0101000020E61000004DDBBFB2D2604EC02C0E677E355B40C0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,AV RICHIERI 3145,TOTAL ESPECIALIDADES ARGENTINA S.A.|,RICCHIERI N/KM 3145,SANTO TOME,LA CAPITAL,SANTA FE,"{""type"":""Point"",""coordinates"":[-60.77734,-31.68687]}",0101000020E6100000B3EF8AE07F634EC0809A5AB6D6AF3FC0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,RUTA 33 KM 630,TOTAL ESPECIALIDADES ARGENTINA S.A.|,RUTA NACIONAL 33 N/KM 630,VENADO TUERTO,GENERAL LOPEZ,SANTA FE,"{""type"":""Point"",""coordinates"":[-62.00088,-33.72621]}",0101000020E6100000399CF9D51C004FC09B030473F4DC40C0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,"RUTA NACIONAL N 64 KM 3,5  (BO. MATADERO)",TOTAL ESPECIALIDADES ARGENTINA S.A.|,RUTA NACIONAL 64 N/KM 3.5 -BO. MATADERO-,LA BANDA,BANDA,SANTIAGO DEL ESTERO,"{""type"":""Point"",""coordinates"":[-64.26583,-27.75146]}",0101000020E6100000EC12D55B031150C08E40BCAE5FC03BC0
ITALGAS S.A.,30680922345,AZUL,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|ITALGAS S.A.|,RUTA NACIONAL Nº 3 N/KM 302,AZUL,AZUL,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-59.866822,-36.815506]}",0101000020E610000006BAF605F4EE4DC08CD82780626842C0
CAÑUELAS GAS S.A.,30637182907,CONCORDIA,YPF GAS S.A.|TOTAL ESPECIALIDADES ARGENTINA S.A.|CAÑUELAS GAS S.A.|,RUTA NACIONAL 14 N/KM 248.5,CONCORDIA,CONCORDIA,ENTRE RIOS,"{""type"":""Point"",""coordinates"":[-58.131855,-31.449591]}",0101000020E61000003468E89FE0104DC07193516518733FC0
FUTURO GAS SOCIEDAD ANONIMA,30708913118,EXTRAGAS TUCUMAN,FUTURO GAS SOCIEDAD ANÓNIMA.|,RUTA PROVINCIAL Nº 306 N/KM 8,PACARA PINTADO,CRUZ ALTA,TUCUMAN,"{""type"":""Point"",""coordinates"":[-65.177225,-26.874445]}",0101000020E610000027C286A7574B50C09626A5A0DBDF3AC0
REGION GAS SA,30713233508,ANTARTIDA ARGENTINA S/N ENTRE ORCADAS ARG. Y PASO DE LA PATRIA,REGIÓN GAS SA|,ANTARTIDA ARGENTINA S/N ENTRE ORCADAS ARG. Y PASO DE LA PATRIA-BARRIO INDUSTRIAL N/KM ,VILLA MARIA,GENERAL SAN MARTIN,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-63.21714,-32.42373]}",0101000020E6100000A453573ECB9B4FC0C32ADEC83C3640C0
REGION GAS SA,30713233508,"RUTA NACIONAL N 9 KM 1286,5",REGIÓN GAS SA|,RUTA NACIONAL 9 N/KM 1286,LASTENIA,CRUZ ALTA,TUCUMAN,"{""type"":""Point"",""coordinates"":[-65.16468,-26.85981]}",0101000020E61000008A93FB1D8A4A50C015C616821CDC3AC0
